date,time,latitude,longitude,gps_speed,gps_alt,gps_heading,gps_distance,speed,voltage,phase_current,current,power,torque,pwm,battery_level,distance,totaldistance,system_temp,temp2,tilt,roll,mode,alert
2025-02-04,10:04:06.738,51.701495,39.181572,0.0,167.3000030517578,0.0,0,1.10,146.46,1.40,0.04,5.86,0.00,2.57,89,2,9271346,31,0,-1.33,0.00,,
2025-02-04,10:04:06.738,51.701495,39.181572,0.0,167.3000030517578,0.0,0,1.10,146.46,1.40,0.04,5.86,0.00,2.57,89,2,9271346,31,0,-1.33,0.00,,
2025-02-04,10:04:06.738,51.701495,39.181572,0.0,167.3000030517578,0.0,0,1.10,146.46,1.40,0.04,5.86,0.00,2.57,89,2,9271346,31,0,-1.33,0.00,,
2025-02-04,10:04:06.738,51.701495,39.181572,0.0,167.3000030517578,0.0,0,1.10,146.46,1.40,0.04,5.86,0.00,2.57,89,2,9271346,31,0,-1.33,0.00,,
2025-02-04,10:04:06.738,51.701495,39.181572,0.0,167.3000030517578,0.0,0,1.10,146.46,1.40,0.04,5.86,0.00,2.57,89,2,9271346,31,0,-1.33,0.00,,
2025-02-04,10:04:07.537,51.701495,39.181572,0.0,167.3000030517578,0.0,0,0.20,146.46,0.40,0.00,0.00,0.00,0.29,89,2,9271346,31,0,-1.29,0.00,,
2025-02-04,10:04:07.537,51.701495,39.181572,0.0,167.3000030517578,0.0,0,0.20,146.46,0.40,0.00,0.00,0.00,0.29,89,2,9271346,31,0,-1.29,0.00,,
2025-02-04,10:04:07.537,51.701495,39.181572,0.0,167.3000030517578,0.0,0,0.20,146.46,0.40,0.00,0.00,0.00,0.29,89,2,9271346,31,0,-1.29,0.00,,
2025-02-04,10:04:07.537,51.701495,39.181572,0.0,167.3000030517578,0.0,0,0.20,146.46,0.40,0.00,0.00,0.00,0.29,89,2,9271346,31,0,-1.29,0.00,,
2025-02-04,10:04:08.135,51.701495,39.181572,0.0,167.3000030517578,0.0,0,0.00,146.46,0.50,0.01,1.46,0.00,1.06,89,2,9271346,31,0,-1.32,0.00,,
2025-02-04,10:04:08.135,51.701495,39.181572,0.0,167.3000030517578,0.0,0,0.00,146.46,0.50,0.01,1.46,0.00,1.06,89,2,9271346,31,0,-1.32,0.00,,
2025-02-04,10:04:08.135,51.701495,39.181572,0.0,167.3000030517578,0.0,0,0.00,146.46,0.50,0.01,1.46,0.00,1.06,89,2,9271346,31,0,-1.32,0.00,,
2025-02-04,10:04:08.758,51.701495,39.181572,0.0,167.3000030517578,0.0,0,0.00,146.46,2.00,0.05,7.32,0.00,2.50,89,2,9271346,31,0,-1.33,0.00,,
2025-02-04,10:04:08.758,51.701495,39.181572,0.0,167.3000030517578,0.0,0,0.00,146.46,2.00,0.05,7.32,0.00,2.50,89,2,9271346,31,0,-1.33,0.00,,
2025-02-04,10:04:08.758,51.701495,39.181572,0.0,167.3000030517578,0.0,0,0.00,146.46,2.00,0.05,7.32,0.00,2.50,89,2,9271346,31,0,-1.33,0.00,,
2025-02-04,10:04:09.357,51.701495,39.181572,0.0,167.3000030517578,0.0,0,0.00,146.45,0.40,0.00,0.00,0.00,0.41,89,2,9271346,31,0,-1.28,0.00,,
2025-02-04,10:04:09.357,51.701495,39.181572,0.0,167.3000030517578,0.0,0,0.00,146.45,0.40,0.00,0.00,0.00,0.41,89,2,9271346,31,0,-1.28,0.00,,
2025-02-04,10:04:09.357,51.701495,39.181572,0.0,167.3000030517578,0.0,0,0.00,146.45,0.40,0.00,0.00,0.00,0.41,89,2,9271346,31,0,-1.28,0.00,,
2025-02-04,10:04:09.956,51.701495,39.181572,0.0,167.3000030517578,0.0,0,0.00,146.46,0.60,0.01,1.46,0.00,1.93,89,2,9271346,31,0,-1.26,0.00,,
2025-02-04,10:04:09.956,51.701495,39.181572,0.0,167.3000030517578,0.0,0,0.00,146.46,0.60,0.01,1.46,0.00,1.93,89,2,9271346,31,0,-1.26,0.00,,
2025-02-04,10:04:09.956,51.701495,39.181572,0.0,167.3000030517578,0.0,0,0.00,146.46,0.60,0.01,1.46,0.00,1.93,89,2,9271346,31,0,-1.26,0.00,,
2025-02-04,10:04:10.558,51.701495,39.181572,0.0,167.3000030517578,0.0,0,0.00,146.45,0.00,0.00,0.00,0.00,0.49,89,2,9271346,31,0,-1.29,0.00,,
2025-02-04,10:04:10.558,51.701495,39.181572,0.0,167.3000030517578,0.0,0,0.00,146.45,0.00,0.00,0.00,0.00,0.49,89,2,9271346,31,0,-1.29,0.00,,
2025-02-04,10:04:10.558,51.701495,39.181572,0.0,167.3000030517578,0.0,0,0.00,146.45,0.00,0.00,0.00,0.00,0.49,89,2,9271346,31,0,-1.29,0.00,,
2025-02-04,10:04:11.157,51.701495,39.181572,0.0,167.3000030517578,0.0,0,0.00,146.46,1.10,0.02,2.93,0.00,2.16,89,2,9271346,31,0,-1.31,0.00,,
2025-02-04,10:04:11.157,51.701495,39.181572,0.0,167.3000030517578,0.0,0,0.00,146.46,1.10,0.02,2.93,0.00,2.16,89,2,9271346,31,0,-1.31,0.00,,
