Date,Type,Value
2024-12-20,Alanoly Valkov,791
2024-12-20,pavel_smotreshkin,364
2024-12-20,Aria,931
2024-12-20,CP2077_v_f_normal,85
2024-12-20,Roger,220
2024-12-20,Alexey Belov,211
2024-12-20,BG3_zakadroviy,220
2024-12-20,Jessica,119
2024-12-20,panam,218
2024-12-20,Nadia,17296
2024-12-20,BG3_Volo,291
2024-12-20,alex_vdovin,159
2024-12-20,johnny,234
2024-12-20,starcraft,159
2024-12-20,CP2077_v_m_norm_RUS,305
2024-12-21,CP2077_songbird_ENG_scream,468
2024-12-21,CP2077_songbird_ENG_pain,234
2024-12-21,CP2077_johnny_aggressive,234
2024-12-21,Vladimir Lenin,468
2024-12-21,v-m-aggression,234
2024-12-21,Unknown Voice,470
2024-12-22,pavel_smotreshkin,283
2024-12-22,Aleksandr Petrov,80
2024-12-22,Aria,80
2024-12-22,BG3_zakadroviy,1049
2024-12-22,panam,400
2024-12-23,CP2077_songbird_ENG_scream,212
2024-12-23,Levitan,3884
2024-12-23,Aria,154
2024-12-23,Laura,154
2024-12-23,George,308
2024-12-23,Callum,154
2024-12-23,River,154
2024-12-23,Liam,308
2024-12-23,Charlotte,308
2024-12-23,Alice,154
2024-12-23,Matilda,308
2024-12-23,Nadia,8173
2024-12-23,starcraft,154
2024-12-24,Alanoly Valkov,170
2024-12-24,Nadia,12399
2024-12-25,panam,629
2024-12-26,Aria,1917
2024-12-26,Laura,570
2024-12-26,Zashepkina_smotreshka,687
2024-12-26,Alice,1372
2024-12-26,Matilda,3431
2024-12-26,Jessica,687
2024-12-26,Nadia,2753
2024-12-27,pavel_smotreshkin,381
2024-12-27,hasan,183
2024-12-27,Levitan,183
2024-12-27,Aria,114
2024-12-27,Roger,342
2024-12-27,Nadia,2825
2024-12-27,johnny,183
2024-12-27,CP2077_v_m_norm_RUS,183
2024-12-30,Aria,195
2024-12-30,Nadia,5511
2025-01-01,Alanoly Valkov,50
2025-01-01,pavel_smotreshkin,50
2025-01-01,CP2077_songbird_ENG_scream,77
2025-01-01,Aria,250
2025-01-01,CP2077_songbird_ENG_pain,50
2025-01-01,CP2077_v_f_normal,50
2025-01-01,Roger,227
2025-01-01,Sarah,840
2025-01-01,Laura,50
2025-01-01,Alexey Belov,150
2025-01-01,George,77
2025-01-01,CP2077_songbird_elizabeth_peralez,100
2025-01-01,BG3_zakadroviy,100
2025-01-01,River,50
2025-01-01,Alice,50
2025-01-01,Jessica,50
2025-01-01,takemura,77
2025-01-01,BG3_Volo,127
2025-01-01,Brian,50
2025-01-01,Lily,50
2025-01-02,Alanoly Valkov,50
2025-01-02,pavel_smotreshkin,50
2025-01-02,Levitan,100
2025-01-02,Aria,250
2025-01-02,Roger,50
2025-01-02,Sarah,50
2025-01-02,Laura,50
2025-01-02,Alexey Belov,50
2025-01-02,Vladimir Lenin,50
2025-01-02,BG3_zakadroviy,50
2025-01-02,Pavel Demyanov,100
2025-01-02,Callum,50
2025-01-02,Liam,50
2025-01-02,Alice,50
2025-01-02,panam,100
2025-01-03,Aria,408
2025-01-03,Laura,409
2025-01-03,Alice,205
2025-01-03,Matilda,205
2025-01-05,hasan,88
2025-01-05,Aria,50
2025-01-05,ncpd_high_m_01_enus_30_q305_f_308de9b5bf7df000,88
2025-01-05,CP2077_johnny_aggressive,88
2025-01-05,CP2077_songbird_elizabeth_peralez,138
2025-01-05,Vladimir Lenin,50
2025-01-05,Jackie Welles,176
2025-01-05,Zashepkina_smotreshka,88
2025-01-05,CP2077_v_f_norm_RUS,88
2025-01-05,BG3_zakadroviy,88
2025-01-05,panam,88
2025-01-05,Nadia,88
2025-01-05,BG3_Volo,88
2025-01-05,johnny,88
2025-01-05,starcraft,88
2025-01-05,CP2077_v_m_norm_RUS,88
2025-01-09,Alanoly Valkov,50
2025-01-09,Aria,50
2025-01-09,Alexey Belov,100
2025-01-09,BG3_zakadroviy,50
2025-01-09,Alice,50
2025-01-09,Nadia,1311
2025-01-12,Aria,208
2025-01-12,Sarah,51
2025-01-12,BG3_zakadroviy,51
2025-01-12,Pavel Demyanov,51
2025-01-13,Aria,50
2025-01-13,Roger,50
2025-01-13,Alexey Belov,100
2025-01-13,Nadia,58460
2025-01-14,123,100
2025-01-14,Aria,350
2025-01-14,Roger,300
2025-01-14,Sarah,50
2025-01-14,George,50
2025-01-14,Pavel Demyanov,50
2025-01-14,River,50
2025-01-14,CP2077_v_m_norm2_RUS,50
2025-01-14,Nadia,1857
2025-01-15,Aria,216
2025-01-15,Roger,50
2025-01-16,Aria,105
2025-01-16,Sarah,105
2025-01-18,Aria,304
2025-01-18,Laura,34
2025-01-18,Charlie,68
2025-01-18,River,152
2025-01-18,Liam,34
2025-01-18,Alice,50
2025-01-19,Aria,34
2025-01-19,Roger,34
2025-01-19,Charlie,68
2025-01-19,Jessica,34
2025-01-20,Alanoly Valkov,1058
2025-01-20,Aria,467
2025-01-20,Roger,50
2025-01-20,Charlie,103
2025-01-20,Vladimir Lenin,50
2025-01-20,Alice,34
2025-01-20,Nadia,41084
2025-01-21,Nadia,409536
2025-01-22,Aria,50
2025-01-22,Roger,100
2025-01-22,Laura,68
2025-01-22,Nadia,6041
2025-01-23,Charlie,50
2025-01-23,River,34
2025-01-24,River,673
2025-01-26,River,108030
2025-01-27,Callum,1006
2025-01-27,River,20959
2025-01-27,Alice,47350
2025-01-28,Aria,150
2025-01-28,Roger,50
2025-01-28,Sarah,53
2025-01-28,Laura,50
2025-01-28,Alexey Belov,100
2025-01-28,Pavel Demyanov,50
2025-01-28,River,2346
2025-01-28,Alice,860065
2025-01-28,Matilda,50
2025-01-29,Alice,169
